City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Port elizabeth,-33.918,25.5701,69.31,84,0,3.44,ZA,1675886468
1,Tarko-sale,64.9225,77.785,3.9,95,100,20.09,RU,1675886470
2,Airai,-8.9266,125.4092,59.45,95,99,1.25,TL,1675886472
3,Ostrovnoy,68.0531,39.5131,30.96,77,100,38.1,RU,1675886476
4,Castro,-24.7911,-50.0119,80.96,50,7,3.11,BR,1675886482
5,Busselton,-33.65,115.3333,58.44,90,2,10.8,AU,1675886486
6,Ushuaia,-54.8,-68.3,71.26,40,75,5.75,AR,1675886333
7,Kapaa,22.0752,-159.319,77.32,75,0,17.27,US,1675886363
8,Awbari,26.5921,12.7805,65.17,17,68,20.67,LY,1675886392
9,Mana,5.6592,-53.7767,77.04,89,98,10.67,GF,1675886499
10,Bambous virieux,-20.3428,57.7575,79.21,83,75,5.75,MU,1675886460
11,Aklavik,68.2191,-135.0107,-20.2,76,75,3.44,CA,1675886502
12,Chapulhuacan,21.1667,-98.9,78.4,46,0,7.63,MX,1675886503
13,Victoria,22.2855,114.1577,65.95,90,100,13.0,HK,1675886377
14,Vaini,-21.2,-175.2,78.96,94,75,3.44,TO,1675886369
15,Kahului,20.8947,-156.47,78.84,71,58,15.99,US,1675886506
16,Labuhan,-6.8844,112.2051,76.91,88,100,11.12,ID,1675886507
17,Cabedelo,-6.9811,-34.8339,86.67,71,100,13.38,BR,1675886508
18,Marawi,7.9986,124.2928,67.32,95,100,0.63,PH,1675886508
19,Mataura,-46.1927,168.8643,49.48,89,94,7.99,NZ,1675886365
20,Rikitea,-23.1203,-134.9692,79.5,74,46,13.69,PF,1675886509
21,Acapulco,16.8634,-99.8901,84.47,57,0,9.37,MX,1675886510
22,Nemuro,43.3236,145.575,20.95,80,24,8.19,JP,1675886511
23,Guerrero negro,27.9769,-114.0611,68.23,21,0,4.61,MX,1675886511
24,Cidreira,-30.1811,-50.2056,79.5,76,0,16.13,BR,1675886512
25,Lydenburg,-25.0978,30.4597,62.26,96,99,2.68,ZA,1675886512
26,Qaanaaq,77.484,-69.3632,-26.21,67,16,6.2,GL,1675886513
27,Manbij,36.5281,37.9549,32.81,53,4,9.42,SY,1675886514
28,Acucena,-19.0731,-42.5464,84.72,89,95,1.81,BR,1675886482
